2013,1,1605,NP,McDonald,George,T,H,8,,,R0000714,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.25,3/19/2013,,,Interest/Dividends,Int on MMA,N,
2013,1,1605,NP,McDonald,George,T,H,8,,,R0000715,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.42,4/17/2013,,,Interest/Dividends,Int on MMA,N,
2013,1,1605,NP,McDonald,George,T,H,9,,,R0000870,E,Petty Cash Redeposit,Y,OTHR,,,,,,,,100.00,5/14/2013,,,Other,petty cash to bank,N,
2013,1,1605,NP,McDonald,George,T,H,9,,,R0000871,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.34,5/16/2013,,,Interest/Dividends,,N,
2013,1,1605,NP,McDonald,George,T,H,9,,,R0000923,E,Staples,Y,CORP,,,,New York,NY,10028,M,361.32,6/8/2013,,,Other,Return of Merchandis,N,
2013,1,1605,NP,McDonald,George,T,H,9,,,R0000924,E,Staples,Y,CORP,,,,New York,NY,10028,M,30.91,6/11/2013,,,Other,Return of Merchandis,N,
2013,1,1605,NP,McDonald,George,T,H,9,,,R0000925,E,Staples,Y,CORP,,,,Mt Kisco,NY,10548,Z,276.56,6/11/2013,,,Other,Return of Merchandis,N,
2013,1,1605,NP,McDonald,George,T,H,9,,,R0001212,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.42,6/13/2013,,,Interest/Dividends,,N,
2013,1,1605,NP,McDonald,George,T,H,9,,,R0001796,E,Google,Y,CORP,,,,Mountian View,CA,94043,Z,0.63,6/20/2013,,,Other,credit to charge,N,
2013,1,1690,P,Lhota,Joseph,J,H,10,,,R0008158,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,,1436656.00,8/5/2013,,,Public Funds Payment,,N,
2013,1,1690,P,Lhota,Joseph,J,H,11,,,R0008668,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,,154886.00,8/15/2013,,,Public Funds Payment,,N,
2013,1,1690,P,Lhota,Joseph,J,H,12,,,R0009867,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,,41638.00,8/28/2013,,,Public Funds Payment,,N,
2013,1,1690,P,Lhota,Joseph,J,H,12,,,R0010536,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,,309896.00,9/6/2013,,,Public Funds Payment,,N,
2013,1,1690,P,Lhota,Joseph,J,H,13,,,R0012367,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,,220675.00,9/26/2013,,,Public Funds Payment,,N,
2013,1,204,P,Quinn,Christine,C,M,10,,,R0025212,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,3357585.00,8/5/2013,,,Public Funds Payment,,N,
2013,1,204,P,Quinn,Christine,C,M,12,,,R0026997,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,176715.00,9/6/2013,,,Public Funds Payment,,N,
2013,1,204,P,Quinn,Christine,C,M,4,,,R0011384,E,Petty Cash,Y,OTHR,,,,New York,NY,10007,M,350.00,7/12/2011,,,Other,Petty Cash Redeposit,N,
2013,1,260,P,"Thompson, Jr.",William,C,L,10,,,R0028519,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,1428686.00,8/5/2013,,,Public Funds Payment,,N,
2013,1,260,P,"Thompson, Jr.",William,C,L,11,,,R0030473,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,80974.00,8/15/2013,,,Public Funds Payment,,N,
2013,1,260,P,"Thompson, Jr.",William,C,L,12,,,R0031137,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,85984.00,8/28/2013,,,Public Funds Payment,,N,
2013,1,260,P,"Thompson, Jr.",William,C,L,12,,,R0032629,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,256802.00,9/6/2013,,,Public Funds Payment,,N,
2013,1,326,P,de Blasio,Bill,,N,10,,,R0022761,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,2189283.00,8/5/2013,,,Public Funds Payment,,N,
2013,1,326,P,de Blasio,Bill,,N,11,,,R0023897,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,137102.00,8/15/2013,,,Public Funds Payment,,N,
2013,1,326,P,de Blasio,Bill,,N,11,,,R0027167,E,Friends of Bill de Blasio-2009,Y,PCOMC,,,,Brooklyn,NY,11215,K,7418.28,8/8/2013,,,Other,,N,
2013,1,326,P,de Blasio,Bill,,N,12,,,R0027125,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,27654.00,8/28/2013,,,Public Funds Payment,,N,
2013,1,326,P,de Blasio,Bill,,N,12,,,R0027693,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,204.13,5/31/2013,,,Interest/Dividends,interest,N,
2013,1,326,P,de Blasio,Bill,,N,12,,,R0027694,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,184.41,6/28/2013,,,Interest/Dividends,interest,N,
2013,1,326,P,de Blasio,Bill,,N,12,,,R0027699,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,237.05,3/29/2013,,,Interest/Dividends,interest,N,
2013,1,326,P,de Blasio,Bill,,N,12,,,R0027700,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,217.37,7/31/2013,,,Interest/Dividends,interest,N,
2013,1,326,P,de Blasio,Bill,,N,12,,,R0027701,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,210.68,4/30/2013,,,Interest/Dividends,interest,N,
2013,1,326,P,de Blasio,Bill,,N,12,,,R0027706,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,230.43,2/28/2013,,,Interest/Dividends,interest,N,
2013,1,326,P,de Blasio,Bill,,N,12,,,R0028362,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,549801.00,9/6/2013,,,Public Funds Payment,,N,
2013,1,326,P,de Blasio,Bill,,N,13,,,R0029763,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,45229.00,9/26/2013,,,Public Funds Payment,,N,
2013,1,326,P,de Blasio,Bill,,N,2,,,R0006231,E,Friends of Bill de Blasio-2009,Y,PCOMC,,,,Brooklyn,NY,11215,K,36030.00,1/11/2011,,,Other,Misdeposited funds,N,
2013,1,326,P,de Blasio,Bill,,N,4,,,R0008556,E,Friends of Bill de Blasio-2009,Y,PCOMC,,,,Brooklyn,NY,11215,K,5513.83,1/9/2011,,,Other,Reimbursment of 2013,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0014194,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,276.25,9/28/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0015924,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,285.91,6/29/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0015925,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,305.54,5/31/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0015926,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,305.47,4/30/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0015930,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,315.56,7/31/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0015931,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,305.78,8/31/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0015932,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,325.66,10/31/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0015954,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,294.49,11/30/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,6,,,R0015965,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,255.01,12/31/2012,,,Interest/Dividends,Interest,N,
2013,1,326,P,de Blasio,Bill,,N,7,,,R0017445,E,Chase,Y,CORP,,,,Brooklyn,NY,11215,,255.06,1/31/2013,,,Interest/Dividends,Interest,N,
2013,1,BB,P,Weiner,Anthony,D,J,10,,,R0012673,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,1464267.00,8/5/2013,,,Public Funds Payment,,N,
2013,1,BB,P,Weiner,Anthony,D,J,11,,,R0013471,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,99208.00,8/15/2013,,,Public Funds Payment,,N,
2013,1,BB,P,Weiner,Anthony,D,J,12,,,R0013916,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,4774.00,8/28/2013,,,Public Funds Payment,,N,
2013,1,BB,P,Weiner,Anthony,D,J,12,,,R0014304,E,N.Y.C. Campaign Finance Board,Y,CFB,,,,New York,NY,10006,M,83825.00,9/6/2013,,,Public Funds Payment,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0003482,E,North Fork Bank,Y,CORP,,,,New York,NY,10017,M,2759.00,9/30/2007,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0003483,E,North Fork Bank,Y,CORP,,,,New York,NY,10017,M,6812.00,10/31/2007,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0003484,E,North Fork Bank,Y,CORP,,,,New York,NY,10017,M,6599.00,11/30/2007,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0003485,E,North Fork Bank,Y,CORP,,,,New York,NY,10017,M,7054.00,12/31/2007,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0003721,E,North Fork Bank,Y,CORP,,,,New York,NY,10017,M,2795.00,1/11/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0004218,E,North Fork Bank,Y,CORP,,,,New York,NY,10017,M,6425.00,1/31/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0004252,E,North Fork Bank,Y,CORP,,,,New York,NY,10017,M,7237.62,2/29/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0004369,E,Capital Bank,Y,CORP,,,,Brooklyn,NY,11215,K,7499.00,3/31/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006314,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,210.82,4/30/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006315,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6313.79,5/30/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006316,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6124.17,6/30/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006983,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6342.87,7/31/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006984,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6357.70,8/31/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006985,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6166.77,9/30/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006986,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6386.99,10/31/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006987,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6195.18,11/30/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0006988,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6416.41,12/31/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0007446,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6431.41,2/1/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0007447,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5159.76,3/1/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0007761,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5635.71,3/31/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0007762,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5464.86,4/30/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0007763,E,Capital Bank,Y,CORP,,,,Brooklyn,NY,11215,K,12227.00,9/4/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0007861,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5658.36,5/29/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0007862,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5486.83,6/30/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008004,E,North Fork Bank,Y,CORP,,,,New York,NY,10017,M,5869.59,4/30/2008,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008180,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6460.60,7/31/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008181,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,8066.36,8/31/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008182,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,7729.86,9/30/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008183,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,6868.75,10/30/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008184,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5708.77,11/30/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008185,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5866.67,12/31/2009,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008190,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5794.81,1/29/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008191,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,4804.45,2/26/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008192,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5290.69,3/31/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008193,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,5126.87,4/30/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008195,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,3908.45,5/31/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,1,,,R0008196,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,3692.82,6/30/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,2,,,R0008242,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,3819.59,7/31/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,2,,,R0008243,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,3814.50,8/30/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,2,,,R0008244,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,3684.62,9/30/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,2,,,R0008245,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,3811.10,10/31/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,2,,,R0008246,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,3691.47,11/30/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,2,,,R0008251,E,Signature Bank,Y,OTHR,,,,New York,NY,10017,M,3555.01,12/30/2010,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,3,,,R0008276,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,658.49,2/28/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,3,,,R0008277,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,1134.26,3/31/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,3,,,R0008278,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,1061.39,4/29/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,3,,,R0008279,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,1171.52,5/31/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,3,,,R0008280,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,1098.64,6/29/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,4,,,R0008291,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,1062.32,7/29/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,4,,,R0008294,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,1046.74,8/31/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,4,,,R0008295,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,942.31,9/30/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,4,,,R0008296,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,973.96,10/31/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,4,,,R0008297,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,785.47,11/30/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,4,,,R0008298,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,785.63,12/30/2011,,,Interest/Dividends,,N,
2013,1,BB,P,Weiner,Anthony,D,J,5,,,R0008304,E,JPMorgan Chase,Y,CORP,,,,New York,NY,,M,838.18,1/31/2012,,,Interest/Dividends,,N,
